open_time,open,high,low,close,volume
2026-01-20 23:45:00,88492.57,88534.21,88342.52,88427.66,164.43279
2026-01-21 00:00:00,88427.66,88611.11,88382.01,88419.03,167.37792
2026-01-21 00:15:00,88419.02,88617.75,88250.0,88561.23,235.75473
2026-01-21 00:30:00,88561.24,88933.91,88509.66,88851.18,491.02408
2026-01-21 00:45:00,88851.18,88982.0,88825.36,88936.01,158.77451
2026-01-21 01:00:00,88936.01,89113.33,88850.0,89092.91,182.1168
2026-01-21 01:15:00,89092.9,89138.29,88926.2,89078.34,129.79954
2026-01-21 01:30:00,89078.34,89130.58,88984.72,89037.37,122.48733
2026-01-21 01:45:00,89037.37,89165.2,88984.72,89020.91,67.71771
2026-01-21 02:00:00,89020.91,89381.86,89020.91,89271.69,453.50477
2026-01-21 02:15:00,89271.7,89311.16,89101.0,89117.04,101.9671
2026-01-21 02:30:00,89117.05,89184.95,89000.0,89089.99,106.66065
2026-01-21 02:45:00,89089.99,89180.0,89034.19,89048.57,222.80784
2026-01-21 03:00:00,89048.56,89246.43,89046.0,89225.34,165.24042
2026-01-21 03:15:00,89225.34,89290.39,89150.0,89278.93,135.94007
2026-01-21 03:30:00,89278.93,89598.8,89234.18,89554.48,172.54708
2026-01-21 03:45:00,89554.47,89554.47,89400.16,89432.33,66.83006
2026-01-21 04:00:00,89432.33,89489.87,89362.55,89362.55,120.78728
2026-01-21 04:15:00,89362.55,89500.0,89354.72,89500.0,32.73399
2026-01-21 04:30:00,89499.99,89579.24,89405.99,89579.23,69.31755
2026-01-21 04:45:00,89579.23,89630.0,89448.88,89448.89,77.44894
2026-01-21 05:00:00,89448.89,89583.73,89437.25,89583.72,47.35392
2026-01-21 05:15:00,89583.72,89630.0,89531.4,89598.28,73.50515
2026-01-21 05:30:00,89598.29,89935.19,89598.28,89928.79,160.11602
2026-01-21 05:45:00,89928.79,90120.44,89904.22,89950.04,273.60871
2026-01-21 06:00:00,89950.03,89950.04,89800.0,89908.02,116.31059
2026-01-21 06:15:00,89908.02,89917.57,89817.96,89885.39,106.5948
2026-01-21 06:30:00,89885.38,89885.39,89598.28,89616.78,77.08022
2026-01-21 06:45:00,89616.77,89649.63,89491.96,89649.62,69.02053
2026-01-21 07:00:00,89649.63,89767.29,89500.0,89527.11,131.02773
2026-01-21 07:15:00,89527.11,89678.98,89527.11,89628.97,58.43616
2026-01-21 07:30:00,89628.96,89628.96,89176.47,89228.16,359.0519
2026-01-21 07:45:00,89228.17,89265.52,89093.28,89213.95,277.23503
2026-01-21 08:00:00,89213.96,89300.0,89142.0,89163.12,250.45151
2026-01-21 08:15:00,89163.12,89385.4,89163.11,89256.88,220.47381
2026-01-21 08:30:00,89256.89,89295.85,89000.0,89035.36,119.64073
2026-01-21 08:45:00,89035.35,89246.43,89035.3,89197.35,132.56377
2026-01-21 09:00:00,89197.36,89304.89,89174.61,89296.44,58.8614
2026-01-21 09:15:00,89296.44,89454.11,89296.43,89409.42,73.74901
2026-01-21 09:30:00,89409.43,89493.46,89350.69,89414.67,85.36746
2026-01-21 09:45:00,89414.67,89431.29,89080.0,89112.3,89.92188
2026-01-21 10:00:00,89112.3,89343.47,89080.0,89303.77,93.27414
2026-01-21 10:15:00,89303.77,89391.0,89283.36,89338.12,74.2414
2026-01-21 10:30:00,89338.12,89395.08,89241.48,89310.63,84.00017
2026-01-21 10:45:00,89310.63,89321.97,89240.0,89248.99,76.84794
2026-01-21 11:00:00,89248.99,89308.45,89158.6,89308.44,66.5047
2026-01-21 11:15:00,89308.45,89382.0,89283.55,89325.55,52.87397
2026-01-21 11:30:00,89325.54,89340.75,89236.49,89281.49,85.86112
2026-01-21 11:45:00,89281.5,89296.69,88700.0,88789.99,446.29599
2026-01-21 12:00:00,88789.99,88849.39,88196.72,88384.03,769.96693
2026-01-21 12:15:00,88384.03,88479.88,88210.64,88356.73,212.65996
2026-01-21 12:30:00,88356.74,88671.9,88292.22,88626.57,181.53333
2026-01-21 12:45:00,88626.58,88763.77,88528.95,88736.31,107.19074
2026-01-21 13:00:00,88736.31,89000.0,88675.25,88943.0,134.1743
2026-01-21 13:15:00,88943.0,88965.1,88765.57,88850.12,138.46
2026-01-21 13:30:00,88850.12,89020.32,88682.63,88715.45,215.58034
2026-01-21 13:45:00,88715.46,88870.35,88558.67,88672.64,247.61789
2026-01-21 14:00:00,88672.64,89702.85,88611.15,89578.8,492.94216
2026-01-21 14:15:00,89578.8,89698.66,89331.07,89594.54,392.12125
